1,10-SECO-ABIETANE 110-seco-abietane.mol
1,2-SECO-LAURENANE 12-seco-laurenane.mol
1-EPI-ANDROMEDANE andromedane.mol
12,13-SECO-13,17DINOR-TOTARANE 1213-seco-1317dinor-totarane.mol
12,13-SECO-13-NOR-TOTARANE 1213-seco-13-nor-totarane.mol
12,13-SECO-TOTARANE 1213-seco-totarane.mol
12-EPI-FUSICOCCANE fusicoccane.mol
12-ME-SPONGIANE 12-me-spongiane.mol
12-METHYL-PODOCARPANE 12-methyl-podocarpane.mol
13,14,15,16-TETRA-NOR-CHETTAPH 13141516-tetra-nor-chettaphanane.mol
13,14,15,16-TETRANOR-CLERODANE 13141516-tetranor-clerodane.mol
13-EPI-ROSANE rosane.mol
13-METHYL-PODOCARPANE 13-methyl-podocarpane.mol
13/16-CYCLO-17(15-16)ABEO-ABIE 1316-cyclo-171516abeo-abietane.mol
13/16-CYCLOPROPYL-ABIETANE 1316-cyclopropyl-abietane.mol
13/16CYCLOPROPYL-TRIPTOLIDANE 1316cyclopropyl-triptolidane.mol
14,15,16-TRI-NOR-CHETTAPHANANE 141516-tri-nor-chettaphanane.mol
14,15,16-TRI-NOR-LABDANE 141516-tri-nor-labdane.mol
14,15-DI-NOR-CHETTAPHANANE 1415-di-nor-chettaphanane.mol
14,15-DI-NOR-CLERODANE 1415-di-nor-clerodane.mol
14-METHYL-PODOCARPANE 14-methyl-podocarpane.mol
15,16,17-TRI-NOR-LABDANE 151617-tri-nor-labdane.mol
15,16,17-TRINOR-VISCIDANE 151617-trinor-viscidane.mol
15,16,20-TRI-NOR-PRENYLGERMACR 151620-tri-nor-prenylgermacrane.mol
15,16-DI-NOR-ISOPIMARANE 1516-di-nor-pimarane.mol
15,16-DI-NOR-LABDANE 1516-di-nor-labdane.mol
15,16-SECO-ENT-BEYERANE 1516-seco-beyerane.mol
15-NOR-ENT_OXYDE_DE_MANOYL 15-nor-oxyde_de_manoyl.mol
16,17,18-TRINOR-TORMESANE 161718-trinor-tormesane.mol
16,20-DI-NOR-ABIETANE 1620-di-nor-abietane.mol
16-NOR-ABIETANE 16-nor-abietane.mol
16-NOR-ISOPIMARANE 16-nor-pimarane.mol
16-NOR-PIMARANE 16-nor-pimarane.mol
16-NOR-PODOCARPANE 16-nor-podocarpane.mol
17(1/15)-ABEO-RIPPERTANE 17115-abeo-rippertane.mol
17(13/12)-ABEO-VILLANOVANE 171312-abeo-villanovane.mol
17(15/16)ABEO-ABIETANE 171516abeo-abietane.mol
17(15/16)ABEO-TRIPTOLIDANE 171516abeo-triptolidane.mol
17,19-DI-NOR-ENT-KAURANE 1719-di-nor-kaurane.mol
17-NOR-5,6-SECO-SPONGIANE 17-nor-56-seco-spongiane.mol
17-NOR-BEYERANE 17-nor-beyerane.mol
17-NOR-CLERODANE-CIS 17-nor-clerodane.mol
17-NOR-ENT-KAURANE 17-nor-kaurane.mol
17-NOR-FUJINANE 17-nor-fujinane.mol
17-NOR-LABDANE 17-nor-labdane.mol
17-NOR-OXYDE_DE_MANOYL 17-nor-oxyde_de_manoyl.mol
18(4/3)-ABEO-LABDANE 1843-abeo-labdane.mol
18,19-DI-NOR-CLERODANE 1819-di-nor-clerodane.mol
18-NOR-ENT-CLERODANE-CIS 18-nor-clerodane.mol
18-NOR-ENT-PRENYLGUAIANE 18-nor-prenylguaiane.mol
18-NOR-LABDANE 18-nor-labdane.mol
18-NOR-PRENYLGUAIANE 18-nor-prenylguaiane.mol
19,20-DI-NOR-ABIETANE 1920-di-nor-abietane.mol
19,20-EPOXY-ABIETANE 1920-epoxy-abietane.mol
19-NOR-ABIETANE 19-nor-abietane.mol
19-NOR-CLERODANE 19-nor-clerodane.mol
19-NOR-ENT-ATISANE 19-nor-atisane.mol
19-NOR-ENT-CLERODANE 19-nor-clerodane.mol
19-NOR-ENT-KAURANE 19-nor-kaurane.mol
19-NOR-ENT-ROSANE 19-nor-rosane.mol
2,3-SECO-ABIETANE 23-seco-abietane.mol
2,3-SECO-ENT-KAURANE 23-seco-kaurane.mol
