1(11->10)-ABEOMARASMANE 11110-abeomarasmane.mol
1,10-SECO-15(->1)-EUDESMANE 110-seco-15-1-eudesmane.mol
1,10-SECO-AROMADENDRANE 110-seco-aromadendrane.mol
1,10-SECO-CADINANE 110-seco-cadinane.mol
1,2-DINOR-FARNESANE 12-dinor-farnesane.mol
1,2-SECO-CADINANE 12-seco-cadinane.mol
1-3-EUDESMANE 13-eudesmane.mol
1-NOR-PROTOILLUDANE 1-nor-protoilludane.mol
10(->1)-ILLUDANE 10-1-illudane.mol
10,11,15-TRINOR-PINGUISANE 101115-trinor-pinguisane.mol
10,11-DINOR-MONOCYCLOFARNESANE 1011-dinor-monocyclofarnesane.mol
10,11-SECO-HIMACHALANE 1011-seco-himachalane.mol
10-NOR-OPLOPANANE 10-nor-oplopanane.mol
11,12,13,14-TETRA-NOR-PTEROSIN 11121314-tetra-nor-pterosin.mol
11,12,13,15-TETRANOR-EREMOPHIL 11121315-tetranor-eremophilane.mol
11,12,13-TRINOR-BISABOLANE 111213-trinor-bisabolane.mol
11,12,13-TRINOR-CADINANE 111213-trinor-cadinane.mol
11,12,13-TRINOR-ELEMANE 111213-trinor-elemane.mol
11,12,13-TRINOR-EREMOPHILANE 111213-trinor-eremophilane.mol
11,12,13-TRINOR-EUDESMANE 111213-trinor-eudesmane.mol
11,12,13-TRINOR-FARNESANE 111213-trinor-farnesane.mol
11,12,13-TRINOR-VETISPIRANE 111213-trinor-vetispirane.mol
11,12,14,15-TETRA-NOR-PTEROSIN 11121415-tetra-nor-pterosin.mol
11,12,14-TRINOR-OXEPINE 111214-trinor-oxepine.mol
11,13,14,15-TETRA-NOR-PTEROSIN 11131415-tetra-nor-pterosin.mol
11,13,14-TRINOR-12(->4)-PTEROS 111314-trinor-12-4-pterosin.mol
11,13,14-TRINOR-PTEROSIN 111314-trinor-pterosin.mol
11,14,15-TRINOR-PTEROSIN 111415-trinor-pterosin.mol
11,15-DINOR-MONOCYCLOFARNESANE 1115-dinor-monocyclofarnesane.mol
11-13-LAURANE 1113-laurane.mol
11-NOR-12(->7)-DRIMANE 11-nor-12-7-drimane.mol
11-NOR-DRIMANE 11-nor-drimane.mol
11-NOR-MONOCYCLOFARNESANE 11-nor-monocyclofarnesane.mol
11-NOR-PTEROSIN 11-nor-pterosin.mol
11NOR-14(->3)-DRIMANE 11nor-14-3-drimane.mol
12(->4)-CHAMIGRANE 12-4-chamigrane.mol
12,13,15-TRINOR-HIRSUTANE 121315-trinor-hirsutane.mol
12,13-DINOR-CADINANE 1213-dinor-cadinane.mol
12,13-DINOR-ELEMANE 1213-dinor-elemane.mol
12-13-EREMOPHILANE 1213-eremophilane.mol
